,0
0,2.94
1,7.23
2,3.44
3,6.99
4,3.63
5,1.54
6,3.2
7,1.66
8,1.96
9,7.08
10,1.66
11,1.56
12,1.7
13,2.79
14,1.74
15,2.25
16,7.19
17,2.01
18,3.06
19,1.58
20,3.55
21,3.25
22,1.51
23,1.27
24,1.52
25,2.25
26,1.35
27,1.76
28,1.55
29,1.45
30,2.11
31,1.49
32,7.03
33,1.53
34,1.93
35,3.62
36,1.93
37,2.28
38,6.93
39,3.34
40,3.47
41,3.62
42,3.38
43,7.14
44,4.29
45,1.32
46,1.53
47,5.52
48,1.54
49,6.85
50,1.34
51,2.92
52,1.51
53,1.85
54,6.17
55,3.72
56,1.51
57,1.7
58,3.79
59,1.52
60,1.59
61,1.54
62,1.25
63,2.24
64,4.05
65,1.29
66,3.5
67,7.05
68,1.48
69,3.47
70,1.48
71,3.21
72,1.5
73,1.51
74,3.99
75,2.78
76,1.51
77,1.51
78,1.34
79,3.2
80,2.47
81,1.74
82,1.48
83,3.43
84,4.0
85,1.53
86,7.09
87,1.37
88,1.96
89,4.02
90,1.51
91,3.89
92,1.49
93,1.46
94,3.81
95,2.42
96,2.07
97,1.64
98,1.53
99,1.52
100,1.54
101,6.96
102,1.54
103,1.54
104,3.25
105,7.19
106,6.17
107,1.48
108,1.23
109,3.25
110,1.48
111,1.54
112,1.5
113,1.65
114,1.54
115,3.06
116,3.99
117,1.59
118,7.11
119,1.42
120,2.07
121,3.34
122,1.48
123,2.28
124,1.55
125,1.61
126,3.43
127,3.59
128,3.25
129,3.25
130,1.57
131,1.54
132,2.22
133,1.48
134,1.47
135,1.55
136,2.51
137,3.18
138,1.68
139,7.19
140,3.29
141,1.54
142,1.8
143,6.8
144,1.48
145,1.8
146,1.23
147,1.51
148,1.55
149,1.35
150,2.4
151,1.52
152,2.06
153,1.51
154,1.53
155,1.51
156,2.86
157,1.49
158,7.0
159,4.02
160,1.53
161,6.92
162,2.95
163,2.78
164,1.56
165,3.41
166,6.9
167,1.46
168,2.42
169,1.63
170,1.53
171,4.02
172,1.55
173,3.21
174,7.09
175,3.25
176,3.27
177,7.14
178,1.49
179,1.5
180,1.53
181,1.4
182,1.51
183,1.53
184,3.41
185,1.55
186,3.92
187,2.91
188,3.9
189,3.21
190,1.49
191,1.79
192,1.51
193,3.25
194,1.56
195,7.32
196,7.03
197,1.51
198,2.07
199,1.53
200,1.5
201,3.23
202,1.52
203,2.89
204,2.25
205,2.79
206,1.77
207,3.89
208,2.22
209,3.2
210,2.5
211,2.95
212,3.7
213,1.8
214,1.35
215,6.8
216,3.15
217,1.53
218,1.96
219,3.59
220,1.51
221,3.67
222,3.38
223,1.56
224,3.24
225,5.85
226,1.43
227,1.52
228,1.65
229,2.22
230,2.4
231,1.35
232,3.41
233,1.51
234,1.52
235,1.51
236,1.49
237,1.85
238,1.51
239,2.58
240,1.34
241,4.06
242,1.57
243,3.72
244,2.48
245,1.35
246,7.05
247,1.55
248,4.29
249,2.9
250,4.02
251,1.28
252,3.06
253,6.79
254,1.7
255,1.34
256,1.42
257,4.04
258,1.45
259,1.54
260,1.35
261,1.62
262,6.9
263,1.46
264,1.42
265,1.74
266,7.05
267,2.11
268,7.0
269,3.43
270,3.24
271,1.48
272,1.61
273,1.47
274,1.48
275,4.04
276,3.06
277,2.24
278,7.04
279,7.09
280,3.62
281,3.27
282,7.05
283,3.2
284,1.8
285,2.25
286,1.48
287,6.24
288,6.24
289,6.92
290,1.51
291,1.51
292,2.47
293,1.55
294,2.06
295,6.9
296,3.39
297,7.04
298,3.4
299,7.11
300,7.23
301,1.55
302,1.53
303,1.49
304,1.6
305,1.68
306,4.26
307,2.92
308,3.21
309,2.02
310,1.53
311,7.0
312,7.19
313,3.6
314,1.96
315,1.55
316,1.48
317,3.74
318,4.02
319,2.47
320,2.87
321,3.14
322,1.59
323,1.5
324,1.47
325,2.07
326,3.8
327,1.73
328,5.86
329,3.24
330,2.09
331,1.51
332,1.55
333,3.65
334,2.21
335,1.62
336,1.84
337,5.52
338,6.2
339,2.95
340,1.27
341,3.25
342,3.4
343,3.9
344,2.4
345,1.54
346,3.62
347,1.53
348,3.4
349,6.79
350,1.41
351,1.59
352,2.46
353,2.47
354,7.04
355,1.53
356,6.17
357,2.47
358,3.22
359,7.06
360,1.25
361,1.53
362,1.42
363,1.53
364,1.44
365,1.45
366,2.26
367,3.8
368,1.52
369,1.51
370,1.5
371,2.06
372,3.14
373,3.45
374,4.02
375,3.81
376,1.55
377,4.02
378,3.76
379,6.9
380,1.48
381,2.05
382,4.23
383,6.99
384,1.52
385,6.2
386,6.92
387,7.05
388,1.56
389,1.34
390,2.06
391,2.22
392,1.45
393,2.92
394,2.93
395,3.2
396,7.0
397,6.79
398,1.29
399,4.04
